Abiotrophia defectiva
Achromobacter xylosoxidans
Achromobacter xylosoxidans
Acidaminococcus fermentans
Acidaminococcus intestini
Acidaminococcus sp.
Acinetobacter baumannii
Acinetobacter pittii
Acinetobacter haemolyticus
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter lwoffii
Acinetobacter pittii
Acinetobacter radioresistens
Actinobacillus pleuropneumoniae
Schaalia cardiffensis
Schaalia georgiae
Actinomyces graevenitzii
Actinomyces naeslundii
Schaalia odontolytica
Actinomyces oris
Schaalia turicensis
Actinomyces urogenitalis
Actinomyces viscosus
Adlercreutzia equolifaciens
Aerococcus viridans
Aeromonas caviae
Aeromonas hydrophila
Aeromonas jandaei
Aeromonas media
Aeromonas veronii
Afipia birgiae
Aggregatibacter aphrophilus
Agrobacterium tumefaciens
Akkermansia muciniphila
Alcaligenes faecalis
Alcaligenes faecalis
Alistipes finegoldii
Alistipes indistinctus
Alistipes onderdonkii
Alistipes putredinis
Alistipes shahii
Alloprevotella tannerae
Acetomicrobium hydrogeniformans
Anaerobiospirillum succiniciproducens
Anaerococcus hydrogenalis
Anaerococcus prevotii
Anaerococcus vaginalis
Anaerofustis stercorihominis
Anaerostipes caccae
Anaerostipes hadrus
Anaerostipes sp.
Anaerotruncus colihominis
Aneurinibacillus aneurinilyticus
Arcanobacterium haemolyticum
Arcobacter butzleri
Arthrobacter castelli
Atopobium minutum
Atopobium parvulum
Atopobium rimae
Bacillus altitudinis
Bacillus amyloliquefaciens
Bacillus amyloliquefaciens
Bacillus atrophaeus
Bacillus cereus
Bacillus cereus
Bacillus clausii
Bacillus endophyticus
Bacillus firmus
Bacillus flexus
Bacillus fordii
Bacillus halodurans
Bacillus infantis
Bacillus licheniformis
Bacillus megaterium
Bacillus mojavensis
Bacillus mycoides
Bacillus nealsonii
Bacillus pseudofirmus
Bacillus pumilus
Bacillus sonorensis
Bacillus subtilis
Bacillus thermoamylovorans
Bacillus thuringiensis
Bacillus timonensis
Bacillus vallismortis
Bacteroides caccae
Bacteroides cellulosilyticus
Bacteroides clarus
Bacteroides coprocola
Bacteroides coprophilus
Bacteroides dorei
Bacteroides eggerthii
Bacteroides eggerthii
Bacteroides faecis
Bacteroides finegoldii
Bacteroides fluxus
Bacteroides fragilis
Bacteroides fragilis
Bacteroides fragilis
Bacteroides fragilis
Bacteroides graminisolvens
Bacteroides intestinalis
Bacteroides massiliensis
Bacteroides nordii
Bacteroides oleiciplenus
Bacteroides ovatus
Bacteroides xylanisolvens
Bacteroides ovatus
Bacteroides pectinophilus
Bacteroides plebeius
Bacteroides pyogenes
Bacteroides salyersiae
Bacteroides sp.
Bacteroides sp.
Bacteroides sp.
Parabacteroides sp.
Bacteroides sp.
Bacteroides sp.
Parabacteroides sp.
Bacteroides sp.
Bacteroides sp.
Bacteroides sp.
Bacteroides sp.
Bacteroides sp.
Bacteroides sp.
Bacteroides sp.
Bacteroides sp.
Bacteroides sp.
Bacteroides sp.
Bacteroides sp.
Bacteroides sp.
Bacteroides sp.
Bacteroides stercoris
Bacteroides thetaiotaomicron
Bacteroides timonensis
Bacteroides uniformis
Campylobacter ureolyticus
Bacteroides vulgatus
Bacteroides xylanisolvens
Bacteroides xylanisolvens
Barnesiella intestinihominis
Bartonella quintana
Bifidobacterium adolescentis
Bifidobacterium angulatum
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium animalis
Bifidobacterium bifidum
Bifidobacterium bifidum
Bifidobacterium bifidum
Bifidobacterium bifidum
Bifidobacterium boum
Bifidobacterium breve
Bifidobacterium breve
Bifidobacterium catenulatum
Bifidobacterium coryneforme
Bifidobacterium dentium
Bifidobacterium gallicum
Bifidobacterium kashiwanohense
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium longum
Bifidobacterium mongoliense
Bifidobacterium pseudocatenulatum
Bifidobacterium pseudolongum
Bifidobacterium ruminantium
Bifidobacterium scardovii
Bifidobacterium stercoris
Bifidobacterium thermacidophilum
Bifidobacterium thermophilum
Bilophila wadsworthia
Candidatus Blastococcus
Blautia hansenii
Blautia hydrogenotrophica
Blautia obeum
Blautia producta
Blautia wexlerae
Bordetella hinzii
Brachybacterium paraconglomeratum
Brachyspira pilosicoli
Bradyrhizobium elkanii
Bradyrhizobium japonicum
Brevibacillus agri
Brevibacillus agri
Brevibacillus borstelensis
Brevibacillus brevis
Brevibacterium casei
Brevibacterium linens
Brevibacterium ravenspurgense
Brevundimonas bacteroides
Brevundimonas diminuta
Brochothrix thermosphacta
Bulleidia extructa
Burkholderia cepacia
Burkholderiales bacterium
Butyricicoccus pullicaecorum
Butyricimonas synergistica
Butyricimonas virosa
Butyrivibrio crossotus
Butyrivibrio fibrisolvens
Campylobacter coli
Campylobacter concisus
Campylobacter curvus
Campylobacter fetus
Campylobacter gracilis
Campylobacter hominis
Campylobacter hyointestinalis
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter jejuni
Campylobacter lari
Campylobacter rectus
Campylobacter showae
Campylobacter upsaliensis
Candidatus Nitrososphaera
Capnocytophaga granulosa
