name,inchikey
4'-O-Methylcyanidin 3-O-D-glucoside,ZZWPMFROUHHAKY-OUUKCGNVSA-O
4'-O-Methyldelphinidin 3-O-rutinoside,SFXLOSJBJDDYOX-UHFFFAOYSA-O
4-O-Methyldelphinidin 3-O-D-glucoside,JMQNGULBWFJHCJ-NFSXTHTRSA-O
Cyanidin,VEVZSMAEJFVWIL-UHFFFAOYSA-O
"Cyanidin 3,5-O-diglucoside",RDFLLVCQYHQOBU-UHFFFAOYSA-O
Cyanidin 3-O-(2-O-(6-O-(E)-caffeoyl-D glucoside)-D-glucoside)-5-O-D-glucoside,DGVPBUDMTNUREK-FRWPPZSRSA-O
"Cyanidin 3-O-(3'',6''-O-dimalonyl-glucoside)",CXGHPQSURHQOBH-UHFFFAOYSA-O
Cyanidin 3-O-(6''-malonyl-glucoside),ROQLTZUOXIQBDO-UHFFFAOYSA-O
Cyanidin 3-O-arabinoside,SBBFXSBQYRSIPP-UHFFFAOYSA-O
Cyanidin 3-O-diglucoside-5-O-glucoside,KVPLVCKTEICQDV-UHFFFAOYSA-O
Cyanidin 3-O-galactoside,RKWHWFONKJEUEF-UHFFFAOYSA-O
Cyanidin 3-O-glucoside,RKWHWFONKJEUEF-UHFFFAOYSA-O
Cyanidin 3-O-rutinoside,USNPULRDBDVJAO-UHFFFAOYSA-O
Cyanidin 3-O-sambubioside,ZPPQIOUITZSYAO-UHFFFAOYSA-O
Cyanidin 3-O-sambubioside 5-O-glucoside,OLBLWNPOURNBCY-UHFFFAOYSA-O
Cyanidin 3-O-sophoroside,SXYMMDGPXYVCER-UHFFFAOYSA-O
Cyanidin 3-O-xyloside,SBBFXSBQYRSIPP-UHFFFAOYSA-O
Cyanidin 3-O-xylosyl-rutinoside,ZSWXIMXLLJRVFT-UHFFFAOYSA-O
Delphinidin 3-O-arabinoside,XZUBZVMZVWFBNE-UHFFFAOYSA-O
Delphinidin 3-O-galactoside,XENHPQQLDPAYIJ-UHFFFAOYSA-O
Delphinidin 3-O-glucoside,XENHPQQLDPAYIJ-UHFFFAOYSA-O
Delphinidin 3-O-rutinoside,PLKUTZNSKRWCCA-UHFFFAOYSA-O
Isopeonidin 3-O-arabinoside,FXNWBJIHSLHFRS-UHFFFAOYSA-O
Isopeonidin 3-O-galactoside,CNTWHHYMFNSRNJ-UHFFFAOYSA-O
Isopeonidin 3-O-glucoside,CNTWHHYMFNSRNJ-UHFFFAOYSA-O
Isopeonidin 3-O-rutinoside,CLKYQBTVJZYKOK-UHFFFAOYSA-O
Isopeonidin 3-O-sambubioside,NZLZAGYUNATZMP-UHFFFAOYSA-O
Isopeonidin 3-O-xyloside,FXNWBJIHSLHFRS-UHFFFAOYSA-O
Malvidin 3-O-arabinoside,ZWAAFZOEMBEAAF-UHFFFAOYSA-O
Malvidin 3-O-galactoside,YDIKCZBMBPOGFT-UHFFFAOYSA-N
Malvidin 3-O-glucoside,PXUQTDZNOHRWLI-UHFFFAOYSA-O
Pelargonidin,XVFMGWDSJLBXDZ-UHFFFAOYSA-O
Pelargonidin 3-O-(6''-malonyl-glucoside),XLZUBCUKXQFBKB-UHFFFAOYSA-O
Pelargonidin 3-O-glucoside,ABVCUBUIXWJYSE-UHFFFAOYSA-O
Pelargonidin 3-O-glucosyl-rutinoside,YGSWCXGIDLPEGH-UHFFFAOYSA-O
Pelargonidin 3-O-sophoroside,HASVPNDDKSXPGU-UHFFFAOYSA-O
Peonidin 3-O-(2-O-(6-O-(E)-caffeoyl-D-glucosyl)-D-glucoside)-5-O-D-glucoside,HFNKXOBZVJNMRG-FRWPPZSRSA-O
Peonidin 3-O-arabinoside,KGHFAKPGOXLHAB-UHFFFAOYSA-O
Peonidin 3-O-diglucoside-5-O-glucoside,CTPVRNHONLVYJU-ZZEFOAGVSA-O
Peonidin 3-O-galactoside,ZZWPMFROUHHAKY-VRRLNDPFSA-O
Peonidin 3-O-glucoside,ZZWPMFROUHHAKY-UHFFFAOYSA-O
Peonidin 3-O-rutinoside,ONQVTPMFYSRRLL-HUJUZFAXSA-O
Peonidin 3-O-sambubioside,PYUGATAPBPHGFK-UHFFFAOYSA-O
Peonidin 3-O-sambubioside-5-O-glucoside,SAYKPBCLCFGKFE-YHZZWPFKSA-O
Peonidin 3-O-sophoroside,GLKWRYCXULXFHP-UHFFFAOYSA-O
Peonidin 3-O-xyloside,KGHFAKPGOXLHAB-UHFFFAOYSA-O
Petunidin 3-O-arabinoside,XYWFSSFJPFAYCA-UHFFFAOYSA-O
